keledai ledai
membersihkan sih
kapankah kapan
pemeriksaan piksa
pemeran peran
pemersatu psatu
penyerbuan sbuan
jelajah jajah
memeriksa piksa
berikan ikan
memutar putar
menyuap suap
memberlakukan laku
memberi beri
bernama nama
beristri istri
beruang uang
berjanggut janggut
berbaju baju
berdasi dasi
berhias hias
bersalaman salam
penguji uji
pengujian ujian
perekat ekat
pemisah misah
pemirsa mirsa
penerjemah tjemah
penggubah gubah
pengubah ubah
penatar tatar
penyuruh suruh
penambang tambang
penglihat lihat
penggali gali
perbudak budak
perkecil kecil
perkuat kuat
pertigaan tiga
terkunci kunci
terikat ikat
tertutup tutup
terpukul pukul
terangkat angkat
kekasih kasih
memperbudak budak
menyuap suap
jelajah jajah
gelembung gembung
leluhur luhur
melaju laju
pelatuk latuk
selidik lidik
telunjuk tunjuk
serabut rabut
seruling ruling
peranjat anjat
kerudung rudung
cemerlang cerlang
jemari jari
temali tali
temurun turun
gemilang gilang
bang bang
bank bank
rizki rizki
riski riski
keisha keisha
kheysa kheysa
bopak bopak
bapak bapak
meja meja
mega mega
rapat rapat
rabad rabad
rupert rupert
robert robert
golf golf
gulp gulp
kinerja kerja
sinambung sambung
dahulu dulu
sahaja saja
tahadi tadi
sebahagian bagi
bahagian bagi
miliki milik
bukuku buku
kepunyaannya punya
kapankah kapan
