

[Corpus] kluster0.txt
Jumlah dokumen: 135
[TF] tim: 243
[TF] pemain: 229
[TF] gol: 206
[TF] indonesia: 205
[TF] baca: 142
[TF] laga: 131
[TF] babak: 129
[TF] menit: 114
[TF] juara: 112
[TF] dunia: 108
[TF] pertandingan: 108
[TF] berita: 108
[TF] u: 107
[TF] timnas: 101
[TF] bola: 100
[TF] piala: 91
[TF] persib: 85
[TF] poin: 83
[TF] grup: 83
[TF] jakarta: 82
[DF] berita: 105
[DF] pemain: 89
[DF] baca: 86
[DF] tim: 76
[DF] jakarta: 68
[DF] babak: 64
[DF] indonesia: 63
[DF] pertandingan: 59
[DF] laga: 58
[DF] bola: 56
[DF] gol: 54
[DF] juara: 48
[DF] dunia: 47
[DF] gagal: 46
[DF] bermain: 46
[DF] pelatih: 45
[DF] piala: 45
[DF] lawan: 41
[DF] menit: 40
[DF] timnas: 40
[TF.IDF] gol: 81.9756417864398
[TF.IDF] indonesia: 67.853609903492
[TF.IDF] marquez: 66.2711642011654
[TF.IDF] tontowi: 64.2475239168701
[TF.IDF] u: 64.0774691054444
[TF.IDF] pasangan: 61.9998153874783
[TF.IDF] tim: 60.6334028200542
[TF.IDF] menit: 60.223210597043
[TF.IDF] pembalap: 58.3514685078621
[TF.IDF] timnas: 53.3556514938714
[TF.IDF] persib: 53.1406221648835
[TF.IDF] liliyana: 51.9953533507703
[TF.IDF] juara: 50.2983634853749
[TF.IDF] dunia: 49.4894783404032
[TF.IDF] laga: 48.064656516101
[TF.IDF] grup: 47.6445952214007
[TF.IDF] poin: 46.6569596875249
[TF.IDF] banyuwangi: 45.7355255001448
[TF.IDF] rossi: 45.4080199156133
[TF.IDF] bandung: 44.14840594279
[LAST] tim: 51
[LAST] indonesia: 50
[LAST] gol: 48
[LAST] pemain: 38
[LAST] baca: 34
[LAST] laga: 33
[LAST] berita: 29
[LAST] babak: 29
[LAST] juara: 29
[LAST] menit: 28
[LAST] dunia: 26
[LAST] u: 24
[LAST] pertandingan: 23
[LAST] timnas: 19
[LAST] marquez: 18
[LAST] jakarta: 17
[LAST] bola: 17
[LAST] tontowi: 17
[LAST] pasangan: 15
[LAST] persib: 14


[Corpus] kluster1.txt
Jumlah dokumen: 281
[TF] baca: 430
[TF] jokowi: 377
[TF] indonesia: 305
[TF] menteri: 290
[TF] negara: 231
[TF] jakarta: 222
[TF] pemerintah: 206
[TF] ebola: 193
[TF] berita: 172
[TF] presiden: 171
[TF] rp: 159
[TF] kementerian: 158
[TF] kota: 142
[TF] isis: 120
[TF] kabinet: 114
[TF] sapi: 105
[TF] amerika: 100
[TF] pt: 98
[TF] wilayah: 93
[TF] warga: 92
[DF] baca: 215
[DF] berita: 161
[DF] jakarta: 141
[DF] indonesia: 115
[DF] menteri: 113
[DF] jokowi: 110
[DF] negara: 107
[DF] pemerintah: 103
[DF] presiden: 98
[DF] kota: 70
[DF] kabinet: 66
[DF] kementerian: 63
[DF] amerika: 61
[DF] kepala: 57
[DF] wilayah: 56
[DF] ujarnya: 55
[DF] serikat: 55
[DF] dilaporkan: 54
[DF] rp: 53
[DF] warga: 52
[TF.IDF] ebola: 165.524850585566
[TF.IDF] sapi: 162.289714955879
[TF.IDF] jokowi: 153.557240299564
[TF.IDF] indonesia: 118.342586263198
[TF.IDF] rp: 115.184441598382
[TF.IDF] menteri: 114.732084162281
[TF.IDF] isis: 111.623085603263
[TF.IDF] kementerian: 102.599791731337
[TF.IDF] korea: 99.8478402089756
[TF.IDF] negara: 96.86350725279
[TF.IDF] pemerintah: 89.789033611181
